customer,state,response,coverage,education,effective_to_date,employmentstatus,gender,location_code,marital_status,policy_type,policy,renew_offer_type,sales_channel,vehicle_class,vehicle_size,effective_to_month_in_2011,CW
OE15005,California,0,Basic,College,2011-01-05,Medical Leave,M,Suburban,Married,Personal,2,3,Call Center,SUV,Midsize,1,1
WC83389,Oregon,0,Basic,College,2011-02-27,Employed,M,Urban,Married,Personal,2,2,Branch,Four-Door Car,Midsize,2,8
FL50705,California,0,Premium,High School or Below,2011-01-14,Employed,F,Suburban,Married,Corporate,2,1,Call Center,Four-Door Car,Small,1,2
ZK25313,Oregon,0,Basic,High School or Below,2011-02-19,Employed,M,Suburban,Single,Personal,2,1,Branch,Two-Door Car,Midsize,2,7
SV62436,Washington,0,Extended,Bachelor,2011-01-21,Disabled,F,Suburban,Divorced,Personal,3,4,Call Center,Four-Door Car,Midsize,1,3
TZ98966,Nevada,0,Basic,Bachelor,2011-02-24,Unemployed,F,Suburban,Single,Corporate,3,1,Branch,Four-Door Car,Midsize,2,8
HM55802,California,0,Basic,Bachelor,2011-02-05,Disabled,F,Suburban,Married,Corporate,2,2,Branch,Four-Door Car,Midsize,2,5
FS42516,Oregon,0,Basic,College,2011-01-29,Employed,M,Suburban,Married,Personal,3,2,Call Center,Four-Door Car,Large,1,4
US89481,California,0,Premium,Bachelor,2011-02-28,Unemployed,F,Suburban,Single,Personal,3,1,Agent,Four-Door Car,Small,2,9
HO30839,Washington,0,Extended,Master,2011-02-12,Disabled,F,Urban,Married,Corporate,1,1,Branch,SUV,Midsize,2,6
GE62437,Arizona,0,Premium,College,2011-02-02,Employed,F,Suburban,Single,Personal,3,1,Call Center,Four-Door Car,Large,2,5
EJ77678,Oregon,0,Extended,Master,2011-02-07,Employed,F,Suburban,Married,Personal,3,2,Branch,Four-Door Car,Small,2,6
SV85652,Arizona,0,Basic,College,2011-02-28,Employed,M,Suburban,Married,Personal,2,4,Call Center,Four-Door Car,Small,2,9
PF41800,California,0,Basic,Bachelor,2011-01-25,Unemployed,M,Urban,Married,Personal,3,1,Call Center,Four-Door Car,Midsize,1,4
AO98601,Washington,0,Basic,Bachelor,2011-01-18,Employed,M,Suburban,Married,Corporate,2,1,Agent,Two-Door Car,Small,1,3
SK67821,Oregon,0,Basic,Bachelor,2011-02-13,Employed,F,Rural,Married,Corporate,1,3,Web,Four-Door Car,Midsize,2,6
YV55495,Arizona,0,Basic,High School or Below,2011-01-15,Employed,F,Urban,Married,Personal,1,1,Branch,Four-Door Car,Midsize,1,2
KY38074,California,0,Premium,Bachelor,2011-01-08,Employed,M,Suburban,Married,Personal,3,1,Agent,Four-Door Car,Small,1,1
DM79012,Oregon,0,Extended,Master,2011-02-06,Employed,F,Suburban,Married,Personal,3,2,Web,Four-Door Car,Small,2,5
CM61827,Oregon,0,Extended,Bachelor,2011-01-25,Unemployed,M,Suburban,Single,Personal,2,3,Agent,Two-Door Car,Small,1,4
WC35801,Arizona,0,Basic,High School or Below,2011-02-07,Employed,M,Rural,Divorced,Personal,3,1,Call Center,Four-Door Car,Midsize,2,6
QG25316,Nevada,0,Basic,High School or Below,2011-01-18,Unemployed,F,Suburban,Married,Corporate,3,3,Call Center,Two-Door Car,Midsize,1,3
MB98372,Oregon,1,Basic,College,2011-01-11,Employed,F,Rural,Single,Corporate,3,2,Agent,Two-Door Car,Midsize,1,2
IL19217,California,1,Extended,Bachelor,2011-01-28,Employed,F,Suburban,Married,Personal,2,2,Agent,Four-Door Car,Small,1,4
SR38658,Arizona,0,Basic,High School or Below,2011-02-08,Employed,M,Suburban,Married,Personal,2,4,Agent,Sports Car,Midsize,2,6
DH41343,Washington,0,Basic,College,2011-02-23,Employed,M,Suburban,Married,Special,2,2,Call Center,Four-Door Car,Large,2,8
HG65722,Oregon,0,Premium,Doctor,2011-01-25,Disabled,F,Rural,Married,Personal,2,1,Branch,SUV,Midsize,1,4
BU27331,Arizona,0,Basic,Bachelor,2011-01-31,Unemployed,M,Suburban,Single,Personal,3,3,Call Center,Four-Door Car,Midsize,1,5
XM45289,Oregon,0,Basic,High School or Below,2011-01-02,Employed,F,Suburban,Single,Personal,2,4,Agent,Two-Door Car,Midsize,1,52
KP34198,California,0,Extended,Bachelor,2011-02-07,Unemployed,F,Suburban,Married,Corporate,2,2,Call Center,Four-Door Car,Midsize,2,6
SH90947,Arizona,0,Basic,High School or Below,2011-01-18,Unemployed,F,Suburban,Married,Personal,2,4,Branch,Four-Door Car,Midsize,1,3
RB69909,Nevada,0,Basic,High School or Below,2011-02-21,Employed,F,Rural,Married,Special,1,4,Branch,Four-Door Car,Midsize,2,8
XR95069,Washington,0,Basic,Bachelor,2011-02-16,Employed,M,Suburban,Single,Personal,3,4,Agent,Four-Door Car,Midsize,2,7
FR46645,California,0,Premium,Bachelor,2011-01-17,Disabled,M,Suburban,Married,Personal,2,1,Branch,Four-Door Car,Small,1,3
SY17488,Arizona,0,Extended,College,2011-02-05,Employed,F,Suburban,Divorced,Corporate,3,3,Call Center,Four-Door Car,Small,2,5
AP67935,California,0,Basic,College,2011-02-13,Employed,M,Urban,Married,Special,2,2,Branch,Four-Door Car,Midsize,2,6
FS37417,Arizona,0,Basic,High School or Below,2011-02-23,Unemployed,F,Suburban,Married,Personal,2,1,Call Center,SUV,Small,2,8
ML29312,Oregon,0,Extended,High School or Below,2011-01-28,Disabled,F,Suburban,Divorced,Personal,3,1,Call Center,SUV,Midsize,1,4
UB61619,Oregon,0,Premium,Master,2011-02-28,Disabled,F,Suburban,Divorced,Personal,1,1,Agent,Four-Door Car,Midsize,2,9
CD86811,Arizona,1,Basic,Bachelor,2011-01-02,Retired,M,Suburban,Divorced,Personal,1,1,Agent,Four-Door Car,Midsize,1,52
RU83859,California,0,Premium,Bachelor,2011-01-22,Medical Leave,F,Suburban,Married,Personal,3,1,Call Center,Two-Door Car,Small,1,3
FG63582,Oregon,0,Extended,Bachelor,2011-01-15,Unemployed,M,Suburban,Single,Personal,3,1,Agent,Two-Door Car,Small,1,2
WB37082,Arizona,0,Basic,Bachelor,2011-01-23,Unemployed,F,Suburban,Single,Personal,3,3,Branch,Four-Door Car,Large,1,3
SM52139,Washington,0,Basic,College,2011-01-31,Employed,M,Suburban,Married,Personal,3,3,Web,Four-Door Car,Midsize,1,5
FL82372,Oregon,0,Basic,College,2011-01-26,Employed,F,Suburban,Divorced,Corporate,3,1,Agent,SUV,Midsize,1,4
DP45816,Arizona,0,Extended,High School or Below,2011-01-10,Employed,F,Urban,Married,Personal,3,4,Branch,Two-Door Car,Small,1,2
GW33762,Oregon,1,Extended,Bachelor,2011-01-27,Unemployed,F,Suburban,Divorced,Personal,3,1,Call Center,Two-Door Car,Large,1,4
RZ33670,California,0,Premium,College,2011-01-09,Disabled,F,Suburban,Married,Personal,3,3,Web,Four-Door Car,Midsize,1,1
MO91628,Oregon,0,Basic,Master,2011-02-11,Employed,M,Rural,Married,Personal,2,2,Web,Two-Door Car,Large,2,6
HW87852,Oregon,0,Basic,Master,2011-02-12,Medical Leave,M,Suburban,Married,Personal,1,1,Agent,Four-Door Car,Midsize,2,6
HB20453,Oregon,0,Basic,Bachelor,2011-02-04,Unemployed,M,Suburban,Single,Personal,3,1,Agent,Sports Car,Midsize,2,5
BN87372,Oregon,1,Basic,Bachelor,2011-01-18,Employed,M,Suburban,Divorced,Personal,3,2,Branch,Two-Door Car,Midsize,1,3
YX23800,Oregon,0,Basic,Bachelor,2011-02-11,Employed,M,Suburban,Married,Personal,3,2,Branch,Four-Door Car,Small,2,6
DZ87709,Oregon,0,Basic,High School or Below,2011-02-01,Employed,F,Rural,Single,Personal,1,2,Call Center,Four-Door Car,Midsize,2,5
XW13033,Nevada,0,Basic,College,2011-02-15,Employed,M,Suburban,Married,Personal,1,2,Agent,Four-Door Car,Midsize,2,7
LN31673,Washington,0,Extended,College,2011-02-06,Employed,M,Rural,Married,Personal,3,1,Agent,Four-Door Car,Midsize,2,5
ZU35962,California,0,Extended,College,2011-01-26,Unemployed,F,Rural,Single,Personal,3,3,Branch,Two-Door Car,Large,1,4
VH85817,California,1,Basic,High School or Below,2011-02-26,Employed,M,Suburban,Single,Personal,3,2,Call Center,Four-Door Car,Midsize,2,8
DT85712,California,0,Basic,Doctor,2011-01-27,Employed,M,Suburban,Married,Personal,1,3,Branch,SUV,Midsize,1,4
YJ88573,Nevada,0,Basic,Master,2011-01-16,Employed,M,Suburban,Married,Personal,3,2,Call Center,Four-Door Car,Large,1,2
SQ19467,Oregon,0,Extended,College,2011-01-27,Disabled,F,Suburban,Single,Personal,3,2,Agent,Four-Door Car,Small,1,4
HF88410,Washington,0,Basic,High School or Below,2011-02-28,Employed,M,Suburban,Married,Personal,2,1,Call Center,Four-Door Car,Midsize,2,9
ET79815,California,1,Extended,College,2011-01-25,Retired,M,Suburban,Married,Personal,1,1,Agent,Four-Door Car,Midsize,1,4
QC35222,California,0,Basic,Bachelor,2011-01-01,Employed,F,Urban,Married,Corporate,2,3,Web,Four-Door Car,Midsize,1,52
CJ15590,Oregon,0,Basic,Bachelor,2011-02-01,Employed,F,Suburban,Divorced,Personal,2,3,Branch,Four-Door Car,Midsize,2,5
OI48267,California,1,Extended,College,2011-02-19,Employed,M,Suburban,Married,Personal,3,1,Branch,Four-Door Car,Midsize,2,7
JY67916,Oregon,0,Premium,College,2011-01-27,Medical Leave,M,Suburban,Married,Personal,3,2,Branch,Two-Door Car,Small,1,4
OE75231,Washington,1,Extended,Bachelor,2011-02-27,Employed,F,Suburban,Married,Corporate,3,2,Call Center,Two-Door Car,Midsize,2,8
CZ33664,Oregon,0,Basic,Bachelor,2011-01-17,Employed,F,Rural,Married,Corporate,3,1,Agent,Four-Door Car,Midsize,1,3
WK30175,Oregon,0,Basic,Bachelor,2011-02-10,Employed,M,Suburban,Married,Corporate,1,1,Branch,Two-Door Car,Small,2,6
ON44465,California,0,Extended,High School or Below,2011-01-24,Unemployed,F,Suburban,Single,Personal,2,1,Agent,Four-Door Car,Midsize,1,4
KH48895,Arizona,0,Basic,Master,2011-02-15,Medical Leave,F,Rural,Married,Personal,3,1,Branch,SUV,Midsize,2,7
NZ30757,California,0,Basic,Bachelor,2011-02-16,Medical Leave,M,Suburban,Married,Personal,2,1,Agent,Four-Door Car,Midsize,2,7
RI22468,Arizona,0,Basic,Bachelor,2011-01-22,Employed,F,Urban,Married,Personal,1,3,Web,Four-Door Car,Midsize,1,3
FZ30935,Oregon,0,Extended,College,2011-02-25,Employed,M,Suburban,Married,Personal,2,1,Agent,Two-Door Car,Small,2,8
UG93476,California,1,Basic,College,2011-01-11,Unemployed,F,Suburban,Married,Personal,3,1,Agent,SUV,Midsize,1,2
AB96670,California,1,Basic,College,2011-01-31,Unemployed,M,Suburban,Single,Personal,1,1,Branch,Four-Door Car,Midsize,1,5
XK64261,Oregon,0,Basic,Bachelor,2011-01-12,Employed,M,Rural,Single,Corporate,3,3,Call Center,Two-Door Car,Midsize,1,2
EV68375,California,1,Premium,College,2011-02-16,Employed,M,Suburban,Married,Personal,3,2,Branch,Four-Door Car,Midsize,2,7
UN51653,California,0,Extended,High School or Below,2011-02-09,Unemployed,F,Suburban,Single,Personal,3,1,Web,SUV,Midsize,2,6
TO96662,Oregon,0,Extended,Bachelor,2011-01-19,Employed,F,Rural,Married,Personal,3,1,Call Center,Four-Door Car,Small,1,3
MR52087,California,0,Basic,Bachelor,2011-01-04,Employed,F,Rural,Married,Personal,1,3,Branch,Four-Door Car,Midsize,1,1
DE75225,Oregon,0,Basic,High School or Below,2011-01-09,Unemployed,M,Suburban,Married,Personal,1,1,Agent,SUV,Midsize,1,1
EP80820,California,0,Basic,Bachelor,2011-01-27,Employed,F,Rural,Married,Personal,3,1,Agent,Two-Door Car,Midsize,1,4
GU99037,Oregon,0,Basic,College,2011-02-14,Employed,M,Urban,Married,Corporate,1,4,Agent,Four-Door Car,Midsize,2,7
WI57118,California,0,Extended,College,2011-02-27,Employed,M,Suburban,Married,Personal,3,4,Agent,Four-Door Car,Small,2,8
YQ74870,Washington,0,Extended,High School or Below,2011-02-12,Employed,M,Suburban,Divorced,Corporate,2,2,Web,Four-Door Car,Small,2,6
MQ14219,Arizona,0,Basic,College,2011-02-26,Employed,M,Suburban,Married,Personal,3,2,Branch,SUV,Midsize,2,8
KN20603,Oregon,0,Basic,Bachelor,2011-02-20,Employed,M,Suburban,Single,Personal,3,1,Agent,Four-Door Car,Midsize,2,7
JI70886,California,0,Basic,High School or Below,2011-02-15,Unemployed,M,Suburban,Married,Corporate,2,1,Agent,SUV,Midsize,2,7
VF72557,Oregon,1,Extended,High School or Below,2011-02-18,Retired,M,Suburban,Divorced,Personal,3,2,Agent,SUV,Midsize,2,7
OX28638,Arizona,0,Extended,High School or Below,2011-01-21,Employed,M,Suburban,Married,Personal,3,2,Branch,Two-Door Car,Midsize,1,3
SK55033,California,0,Basic,Bachelor,2011-01-15,Employed,F,Suburban,Single,Personal,2,3,Agent,Two-Door Car,Midsize,1,2
OO88645,California,0,Extended,College,2011-02-05,Employed,F,Urban,Married,Corporate,2,2,Call Center,Four-Door Car,Midsize,2,5
YT36855,Washington,0,Extended,College,2011-02-24,Unemployed,M,Suburban,Married,Personal,2,3,Web,Two-Door Car,Midsize,2,8
CW82151,California,0,Basic,Bachelor,2011-01-05,Employed,M,Rural,Married,Personal,3,1,Call Center,Sports Car,Midsize,1,1
DY22043,Oregon,0,Basic,High School or Below,2011-01-28,Employed,F,Suburban,Married,Personal,3,3,Branch,Two-Door Car,Small,1,4
SH36774,California,0,Basic,High School or Below,2011-01-12,Employed,M,Suburban,Single,Personal,3,3,Web,Luxury SUV,Midsize,1,2
EM43724,Nevada,0,Basic,Bachelor,2011-02-16,Employed,F,Rural,Married,Personal,3,1,Agent,Four-Door Car,Midsize,2,7
XA55993,Oregon,0,Extended,Master,2011-02-07,Employed,F,Rural,Single,Personal,3,2,Branch,Four-Door Car,Midsize,2,6
GO36627,Arizona,0,Extended,College,2011-01-13,Employed,M,Urban,Married,Special,2,1,Branch,Four-Door Car,Midsize,1,2
QH48047,Oregon,1,Basic,College,2011-01-03,Retired,M,Suburban,Divorced,Personal,2,2,Web,Four-Door Car,Midsize,1,1
RB50392,Washington,0,Basic,Master,2011-02-17,Unemployed,F,Rural,Married,Personal,1,2,Agent,Four-Door Car,Midsize,2,7
UH65059,Arizona,0,Basic,High School or Below,2011-01-21,Employed,M,Suburban,Married,Personal,3,1,Agent,Sports Car,Midsize,1,3
FV21968,Nevada,0,Basic,Bachelor,2011-01-26,Employed,F,Rural,Married,Special,2,1,Branch,Four-Door Car,Midsize,1,4
QA87025,Oregon,0,Basic,Bachelor,2011-01-31,Employed,F,Urban,Married,Personal,3,1,Call Center,Four-Door Car,Midsize,1,5
TQ13499,Arizona,0,Premium,College,2011-01-02,Employed,M,Suburban,Married,Personal,3,1,Agent,Four-Door Car,Small,1,52
BU44523,Arizona,0,Basic,High School or Below,2011-02-07,Unemployed,F,Suburban,Single,Corporate,2,1,Web,Four-Door Car,Small,2,6
MS41162,Arizona,0,Basic,High School or Below,2011-01-26,Unemployed,M,Suburban,Single,Personal,3,1,Agent,SUV,Midsize,1,4
PU25891,Oregon,0,Basic,High School or Below,2011-01-11,Employed,F,Rural,Married,Special,2,1,Branch,Sports Car,Midsize,1,2
RB81636,Washington,0,Basic,College,2011-01-15,Unemployed,F,Suburban,Single,Personal,2,2,Agent,Four-Door Car,Small,1,2
SX26335,Oregon,0,Extended,College,2011-02-08,Employed,F,Urban,Married,Personal,3,4,Branch,Four-Door Car,Midsize,2,6
AZ95587,Arizona,0,Extended,Bachelor,2011-01-11,Employed,F,Urban,Single,Special,3,3,Branch,Four-Door Car,Small,1,2
DS81757,Oregon,0,Basic,College,2011-01-09,Unemployed,M,Suburban,Single,Personal,1,4,Web,Two-Door Car,Large,1,1
OJ94107,Arizona,0,Premium,Master,2011-02-04,Employed,M,Urban,Married,Personal,2,1,Call Center,SUV,Midsize,2,5
LP84436,California,0,Extended,High School or Below,2011-01-21,Unemployed,F,Suburban,Single,Personal,2,3,Branch,Sports Car,Midsize,1,3
YV64727,Washington,0,Premium,High School or Below,2011-02-16,Employed,M,Suburban,Married,Corporate,3,3,Agent,SUV,Midsize,2,7
LM19287,Oregon,1,Extended,High School or Below,2011-02-24,Unemployed,F,Suburban,Married,Personal,1,1,Agent,Four-Door Car,Large,2,8
ZU18643,Nevada,0,Extended,Bachelor,2011-01-18,Employed,M,Urban,Married,Corporate,2,4,Web,Four-Door Car,Midsize,1,3
AZ82578,California,0,Basic,College,2011-01-30,Unemployed,F,Suburban,Married,Corporate,3,1,Call Center,Four-Door Car,Midsize,1,4
XC67861,Arizona,0,Basic,Bachelor,2011-01-09,Employed,F,Suburban,Divorced,Corporate,2,1,Call Center,Two-Door Car,Midsize,1,1
YC43143,Arizona,0,Extended,High School or Below,2011-02-01,Employed,F,Rural,Married,Personal,3,2,Web,Four-Door Car,Midsize,2,5
EK59571,Oregon,1,Premium,College,2011-02-28,Unemployed,M,Suburban,Married,Corporate,2,1,Branch,Four-Door Car,Large,2,9
GD83998,Washington,0,Basic,Bachelor,2011-01-31,Employed,M,Suburban,Single,Personal,2,4,Branch,Four-Door Car,Small,1,5
WA25797,Washington,1,Basic,High School or Below,2011-02-17,Employed,M,Rural,Married,Personal,3,2,Agent,Sports Car,Midsize,2,7
PD27940,Arizona,0,Extended,High School or Below,2011-02-12,Disabled,M,Suburban,Married,Personal,3,4,Agent,SUV,Midsize,2,6
BS77946,Arizona,0,Extended,Bachelor,2011-02-24,Medical Leave,F,Rural,Married,Personal,1,1,Branch,SUV,Midsize,2,8
YM50253,California,0,Basic,Bachelor,2011-02-01,Employed,F,Urban,Single,Personal,3,2,Branch,Four-Door Car,Midsize,2,5
NR15332,California,0,Basic,High School or Below,2011-02-06,Employed,M,Suburban,Married,Personal,2,2,Web,Four-Door Car,Small,2,5
RC62865,Oregon,0,Extended,College,2011-01-23,Employed,M,Rural,Single,Personal,2,3,Agent,Four-Door Car,Midsize,1,3
CC15295,Oregon,0,Extended,Bachelor,2011-01-21,Employed,F,Suburban,Married,Personal,2,2,Agent,Four-Door Car,Small,1,3
KA61892,Arizona,1,Basic,College,2011-01-20,Retired,M,Suburban,Married,Personal,3,2,Agent,Sports Car,Midsize,1,3
OS94884,Arizona,0,Basic,Bachelor,2011-01-06,Employed,F,Rural,Married,Personal,2,1,Web,Two-Door Car,Large,1,1
ND87334,California,0,Basic,High School or Below,2011-02-22,Unemployed,M,Suburban,Married,Corporate,3,2,Agent,Two-Door Car,Midsize,2,8
ML93326,Washington,0,Basic,College,2011-02-27,Employed,F,Urban,Married,Personal,1,1,Agent,SUV,Midsize,2,8
YL74911,California,1,Basic,College,2011-02-21,Unemployed,F,Suburban,Divorced,Personal,3,1,Agent,SUV,Midsize,2,8
JP69864,Washington,1,Basic,Bachelor,2011-01-29,Retired,F,Suburban,Single,Personal,1,1,Branch,Four-Door Car,Midsize,1,4
HL53154,California,0,Extended,Bachelor,2011-02-22,Unemployed,M,Suburban,Single,Personal,3,1,Agent,Four-Door Car,Midsize,2,8
RI78966,Oregon,0,Basic,Master,2011-02-21,Medical Leave,M,Suburban,Married,Personal,3,1,Agent,Four-Door Car,Small,2,8
IC13702,California,0,Basic,Bachelor,2011-01-10,Unemployed,F,Suburban,Single,Personal,3,1,Agent,Four-Door Car,Small,1,2
BE10809,California,1,Basic,High School or Below,2011-01-18,Unemployed,F,Suburban,Single,Personal,1,1,Agent,Four-Door Car,Small,1,3
TS19868,California,0,Basic,College,2011-01-27,Medical Leave,M,Suburban,Married,Personal,1,4,Branch,Four-Door Car,Midsize,1,4
LP45550,Oregon,0,Premium,Doctor,2011-01-15,Disabled,F,Urban,Divorced,Personal,3,2,Agent,Four-Door Car,Midsize,1,2
QR87004,Nevada,0,Basic,College,2011-01-09,Employed,F,Rural,Divorced,Personal,3,3,Agent,Four-Door Car,Midsize,1,1
OE75747,Nevada,0,Basic,College,2011-01-28,Unemployed,F,Suburban,Married,Personal,2,3,Agent,Four-Door Car,Small,1,4
DX91392,California,1,Basic,High School or Below,2011-02-26,Employed,M,Suburban,Single,Personal,2,2,Call Center,Four-Door Car,Midsize,2,8
AB72731,California,0,Basic,Bachelor,2011-01-04,Employed,F,Rural,Married,Personal,2,2,Call Center,Sports Car,Midsize,1,1
RU49126,Washington,0,Basic,College,2011-02-01,Employed,F,Rural,Married,Personal,2,2,Agent,SUV,Midsize,2,5
IS12901,Arizona,0,Basic,Bachelor,2011-01-27,Employed,F,Urban,Married,Personal,3,2,Call Center,Two-Door Car,Midsize,1,4
IX37561,Washington,0,Basic,College,2011-02-14,Unemployed,F,Suburban,Single,Personal,3,3,Web,Two-Door Car,Midsize,2,7
HH90090,California,0,Basic,Bachelor,2011-01-23,Employed,F,Suburban,Divorced,Personal,2,2,Call Center,Sports Car,Small,1,3
IU25463,California,0,Premium,Bachelor,2011-02-18,Unemployed,F,Suburban,Married,Personal,2,1,Agent,Four-Door Car,Midsize,2,7
PD33979,Oregon,0,Basic,High School or Below,2011-02-18,Employed,M,Suburban,Married,Personal,2,2,Branch,Four-Door Car,Large,2,7
NK71023,Nevada,0,Extended,Bachelor,2011-01-19,Employed,M,Suburban,Single,Personal,2,4,Agent,Four-Door Car,Small,1,3
AB13432,California,0,Basic,Bachelor,2011-01-04,Unemployed,M,Suburban,Single,Personal,3,1,Agent,SUV,Midsize,1,1
OZ97704,California,0,Basic,High School or Below,2011-02-07,Employed,F,Suburban,Single,Personal,3,3,Call Center,SUV,Small,2,6
UF46533,California,0,Basic,College,2011-01-30,Employed,F,Suburban,Single,Corporate,3,2,Branch,SUV,Midsize,1,4
XP47431,Arizona,1,Extended,Bachelor,2011-02-17,Employed,F,Suburban,Married,Personal,1,2,Agent,SUV,Midsize,2,7
GK73582,California,0,Extended,Bachelor,2011-01-13,Employed,F,Urban,Single,Personal,1,3,Branch,Four-Door Car,Midsize,1,2
RV98763,Oregon,0,Extended,College,2011-02-08,Employed,M,Urban,Married,Personal,3,3,Branch,Four-Door Car,Midsize,2,6
II62831,California,0,Basic,Master,2011-01-29,Employed,M,Urban,Married,Special,2,4,Web,SUV,Midsize,1,4
XK33449,California,0,Basic,High School or Below,2011-02-05,Unemployed,F,Suburban,Single,Special,3,4,Branch,Two-Door Car,Small,2,5
TR85083,California,0,Basic,Bachelor,2011-01-20,Employed,M,Suburban,Married,Personal,3,2,Branch,Two-Door Car,Midsize,1,3
EO95328,Oregon,0,Basic,Bachelor,2011-01-27,Employed,F,Suburban,Married,Personal,2,4,Agent,Two-Door Car,Small,1,4
EN21086,Arizona,0,Basic,High School or Below,2011-01-09,Unemployed,F,Suburban,Divorced,Personal,2,1,Branch,Four-Door Car,Small,1,1
YL83902,Washington,0,Extended,Bachelor,2011-01-11,Employed,F,Suburban,Married,Personal,3,1,Agent,Four-Door Car,Small,1,2
AZ62651,Oregon,0,Premium,High School or Below,2011-02-17,Employed,M,Suburban,Single,Corporate,3,4,Web,Luxury SUV,Midsize,2,7
ZW25874,Oregon,0,Basic,Bachelor,2011-02-16,Employed,M,Rural,Single,Special,3,1,Branch,Four-Door Car,Midsize,2,7
MW70227,California,1,Extended,College,2011-02-19,Employed,M,Suburban,Married,Personal,1,1,Branch,Four-Door Car,Midsize,2,7
SL22297,California,0,Premium,Master,2011-01-21,Disabled,F,Suburban,Single,Personal,1,1,Call Center,SUV,Midsize,1,3
RV14138,Nevada,1,Extended,Bachelor,2011-02-27,Retired,F,Suburban,Single,Personal,3,1,Agent,SUV,Midsize,2,8
UO62808,Arizona,0,Basic,High School or Below,2011-02-04,Employed,F,Suburban,Married,Corporate,1,2,Call Center,Four-Door Car,Midsize,2,5
ZX64745,California,0,Basic,College,2011-01-18,Unemployed,M,Suburban,Single,Personal,2,1,Agent,SUV,Midsize,1,3
FL34139,California,0,Basic,High School or Below,2011-02-03,Unemployed,M,Suburban,Single,Personal,2,1,Call Center,Four-Door Car,Midsize,2,5
TS11219,California,0,Basic,College,2011-01-02,Unemployed,M,Suburban,Single,Personal,2,1,Agent,SUV,Midsize,1,52
XX12304,California,0,Basic,College,2011-01-09,Employed,F,Urban,Married,Personal,1,2,Branch,Four-Door Car,Midsize,1,1
SD64087,California,0,Premium,College,2011-01-19,Employed,M,Suburban,Married,Corporate,2,1,Branch,SUV,Small,1,3
OY38576,Oregon,0,Basic,High School or Below,2011-01-11,Employed,F,Suburban,Divorced,Corporate,3,2,Agent,SUV,Midsize,1,2
BG76355,Washington,0,Extended,Bachelor,2011-01-31,Employed,F,Rural,Married,Personal,3,3,Web,Four-Door Car,Midsize,1,5
IP66913,California,0,Extended,High School or Below,2011-01-11,Employed,M,Suburban,Single,Personal,3,2,Agent,Two-Door Car,Small,1,2
LE95702,California,1,Basic,College,2011-02-11,Retired,M,Suburban,Single,Special,3,1,Agent,Four-Door Car,Midsize,2,6
KX54357,Washington,0,Extended,College,2011-01-22,Employed,M,Urban,Married,Corporate,3,2,Web,Two-Door Car,Small,1,3
EZ78112,California,0,Basic,High School or Below,2011-02-24,Employed,F,Urban,Single,Special,3,1,Agent,Four-Door Car,Midsize,2,8
XN16891,Arizona,0,Basic,College,2011-02-28,Employed,M,Suburban,Divorced,Personal,1,4,Agent,Four-Door Car,Small,2,9
