customer,state,response,coverage,education,effective_to_date,employmentstatus,gender,location_code,marital_status,policy_type,policy,renew_offer_type,sales_channel,vehicle_class,vehicle_size,effective_to_month_in_2011
CM61827,Oregon,0,Extended,Bachelor,2011-01-25,Unemployed,M,Suburban,Single,Personal,2,3,Agent,Two-Door Car,Small,1
WC35801,Arizona,0,Basic,High School or Below,2011-02-07,Employed,M,Rural,Divorced,Personal,3,1,Call Center,Four-Door Car,Midsize,2
QG25316,Nevada,0,Basic,High School or Below,2011-01-18,Unemployed,F,Suburban,Married,Corporate,3,3,Call Center,Two-Door Car,Midsize,1
MB98372,Oregon,1,Basic,College,2011-01-11,Employed,F,Rural,Single,Corporate,3,2,Agent,Two-Door Car,Midsize,1
IL19217,California,1,Extended,Bachelor,2011-01-28,Employed,F,Suburban,Married,Personal,2,2,Agent,Four-Door Car,Small,1
SR38658,Arizona,0,Basic,High School or Below,2011-02-08,Employed,M,Suburban,Married,Personal,2,4,Agent,Sports Car,Midsize,2
DH41343,Washington,0,Basic,College,2011-02-23,Employed,M,Suburban,Married,Special,2,2,Call Center,Four-Door Car,Large,2
HG65722,Oregon,0,Premium,Doctor,2011-01-25,Disabled,F,Rural,Married,Personal,2,1,Branch,SUV,Midsize,1
BU27331,Arizona,0,Basic,Bachelor,2011-01-31,Unemployed,M,Suburban,Single,Personal,3,3,Call Center,Four-Door Car,Midsize,1
XM45289,Oregon,0,Basic,High School or Below,2011-01-02,Employed,F,Suburban,Single,Personal,2,4,Agent,Two-Door Car,Midsize,1
KP34198,California,0,Extended,Bachelor,2011-02-07,Unemployed,F,Suburban,Married,Corporate,2,2,Call Center,Four-Door Car,Midsize,2
SH90947,Arizona,0,Basic,High School or Below,2011-01-18,Unemployed,F,Suburban,Married,Personal,2,4,Branch,Four-Door Car,Midsize,1
RB69909,Nevada,0,Basic,High School or Below,2011-02-21,Employed,F,Rural,Married,Special,1,4,Branch,Four-Door Car,Midsize,2
XR95069,Washington,0,Basic,Bachelor,2011-02-16,Employed,M,Suburban,Single,Personal,3,4,Agent,Four-Door Car,Midsize,2
FR46645,California,0,Premium,Bachelor,2011-01-17,Disabled,M,Suburban,Married,Personal,2,1,Branch,Four-Door Car,Small,1
SY17488,Arizona,0,Extended,College,2011-02-05,Employed,F,Suburban,Divorced,Corporate,3,3,Call Center,Four-Door Car,Small,2
AP67935,California,0,Basic,College,2011-02-13,Employed,M,Urban,Married,Special,2,2,Branch,Four-Door Car,Midsize,2
FS37417,Arizona,0,Basic,High School or Below,2011-02-23,Unemployed,F,Suburban,Married,Personal,2,1,Call Center,SUV,Small,2
ML29312,Oregon,0,Extended,High School or Below,2011-01-28,Disabled,F,Suburban,Divorced,Personal,3,1,Call Center,SUV,Midsize,1
UB61619,Oregon,0,Premium,Master,2011-02-28,Disabled,F,Suburban,Divorced,Personal,1,1,Agent,Four-Door Car,Midsize,2
CD86811,Arizona,1,Basic,Bachelor,2011-01-02,Retired,M,Suburban,Divorced,Personal,1,1,Agent,Four-Door Car,Midsize,1
RU83859,California,0,Premium,Bachelor,2011-01-22,Medical Leave,F,Suburban,Married,Personal,3,1,Call Center,Two-Door Car,Small,1
FG63582,Oregon,0,Extended,Bachelor,2011-01-15,Unemployed,M,Suburban,Single,Personal,3,1,Agent,Two-Door Car,Small,1
WB37082,Arizona,0,Basic,Bachelor,2011-01-23,Unemployed,F,Suburban,Single,Personal,3,3,Branch,Four-Door Car,Large,1
SM52139,Washington,0,Basic,College,2011-01-31,Employed,M,Suburban,Married,Personal,3,3,Web,Four-Door Car,Midsize,1
FL82372,Oregon,0,Basic,College,2011-01-26,Employed,F,Suburban,Divorced,Corporate,3,1,Agent,SUV,Midsize,1
DP45816,Arizona,0,Extended,High School or Below,2011-01-10,Employed,F,Urban,Married,Personal,3,4,Branch,Two-Door Car,Small,1
GW33762,Oregon,1,Extended,Bachelor,2011-01-27,Unemployed,F,Suburban,Divorced,Personal,3,1,Call Center,Two-Door Car,Large,1
RZ33670,California,0,Premium,College,2011-01-09,Disabled,F,Suburban,Married,Personal,3,3,Web,Four-Door Car,Midsize,1
MO91628,Oregon,0,Basic,Master,2011-02-11,Employed,M,Rural,Married,Personal,2,2,Web,Two-Door Car,Large,2
HW87852,Oregon,0,Basic,Master,2011-02-12,Medical Leave,M,Suburban,Married,Personal,1,1,Agent,Four-Door Car,Midsize,2
HB20453,Oregon,0,Basic,Bachelor,2011-02-04,Unemployed,M,Suburban,Single,Personal,3,1,Agent,Sports Car,Midsize,2
BN87372,Oregon,1,Basic,Bachelor,2011-01-18,Employed,M,Suburban,Divorced,Personal,3,2,Branch,Two-Door Car,Midsize,1
YX23800,Oregon,0,Basic,Bachelor,2011-02-11,Employed,M,Suburban,Married,Personal,3,2,Branch,Four-Door Car,Small,2
DZ87709,Oregon,0,Basic,High School or Below,2011-02-01,Employed,F,Rural,Single,Personal,1,2,Call Center,Four-Door Car,Midsize,2
XW13033,Nevada,0,Basic,College,2011-02-15,Employed,M,Suburban,Married,Personal,1,2,Agent,Four-Door Car,Midsize,2
LN31673,Washington,0,Extended,College,2011-02-06,Employed,M,Rural,Married,Personal,3,1,Agent,Four-Door Car,Midsize,2
ZU35962,California,0,Extended,College,2011-01-26,Unemployed,F,Rural,Single,Personal,3,3,Branch,Two-Door Car,Large,1
VH85817,California,1,Basic,High School or Below,2011-02-26,Employed,M,Suburban,Single,Personal,3,2,Call Center,Four-Door Car,Midsize,2
DT85712,California,0,Basic,Doctor,2011-01-27,Employed,M,Suburban,Married,Personal,1,3,Branch,SUV,Midsize,1
YJ88573,Nevada,0,Basic,Master,2011-01-16,Employed,M,Suburban,Married,Personal,3,2,Call Center,Four-Door Car,Large,1
SQ19467,Oregon,0,Extended,College,2011-01-27,Disabled,F,Suburban,Single,Personal,3,2,Agent,Four-Door Car,Small,1
HF88410,Washington,0,Basic,High School or Below,2011-02-28,Employed,M,Suburban,Married,Personal,2,1,Call Center,Four-Door Car,Midsize,2
ET79815,California,1,Extended,College,2011-01-25,Retired,M,Suburban,Married,Personal,1,1,Agent,Four-Door Car,Midsize,1
QC35222,California,0,Basic,Bachelor,2011-01-01,Employed,F,Urban,Married,Corporate,2,3,Web,Four-Door Car,Midsize,1
CJ15590,Oregon,0,Basic,Bachelor,2011-02-01,Employed,F,Suburban,Divorced,Personal,2,3,Branch,Four-Door Car,Midsize,2
OI48267,California,1,Extended,College,2011-02-19,Employed,M,Suburban,Married,Personal,3,1,Branch,Four-Door Car,Midsize,2
JY67916,Oregon,0,Premium,College,2011-01-27,Medical Leave,M,Suburban,Married,Personal,3,2,Branch,Two-Door Car,Small,1
OE75231,Washington,1,Extended,Bachelor,2011-02-27,Employed,F,Suburban,Married,Corporate,3,2,Call Center,Two-Door Car,Midsize,2
CZ33664,Oregon,0,Basic,Bachelor,2011-01-17,Employed,F,Rural,Married,Corporate,3,1,Agent,Four-Door Car,Midsize,1
WK30175,Oregon,0,Basic,Bachelor,2011-02-10,Employed,M,Suburban,Married,Corporate,1,1,Branch,Two-Door Car,Small,2
ON44465,California,0,Extended,High School or Below,2011-01-24,Unemployed,F,Suburban,Single,Personal,2,1,Agent,Four-Door Car,Midsize,1
KH48895,Arizona,0,Basic,Master,2011-02-15,Medical Leave,F,Rural,Married,Personal,3,1,Branch,SUV,Midsize,2
NZ30757,California,0,Basic,Bachelor,2011-02-16,Medical Leave,M,Suburban,Married,Personal,2,1,Agent,Four-Door Car,Midsize,2
RI22468,Arizona,0,Basic,Bachelor,2011-01-22,Employed,F,Urban,Married,Personal,1,3,Web,Four-Door Car,Midsize,1
FZ30935,Oregon,0,Extended,College,2011-02-25,Employed,M,Suburban,Married,Personal,2,1,Agent,Two-Door Car,Small,2
UG93476,California,1,Basic,College,2011-01-11,Unemployed,F,Suburban,Married,Personal,3,1,Agent,SUV,Midsize,1
AB96670,California,1,Basic,College,2011-01-31,Unemployed,M,Suburban,Single,Personal,1,1,Branch,Four-Door Car,Midsize,1
XK64261,Oregon,0,Basic,Bachelor,2011-01-12,Employed,M,Rural,Single,Corporate,3,3,Call Center,Two-Door Car,Midsize,1
EV68375,California,1,Premium,College,2011-02-16,Employed,M,Suburban,Married,Personal,3,2,Branch,Four-Door Car,Midsize,2
UN51653,California,0,Extended,High School or Below,2011-02-09,Unemployed,F,Suburban,Single,Personal,3,1,Web,SUV,Midsize,2
TO96662,Oregon,0,Extended,Bachelor,2011-01-19,Employed,F,Rural,Married,Personal,3,1,Call Center,Four-Door Car,Small,1
MR52087,California,0,Basic,Bachelor,2011-01-04,Employed,F,Rural,Married,Personal,1,3,Branch,Four-Door Car,Midsize,1
DE75225,Oregon,0,Basic,High School or Below,2011-01-09,Unemployed,M,Suburban,Married,Personal,1,1,Agent,SUV,Midsize,1
EP80820,California,0,Basic,Bachelor,2011-01-27,Employed,F,Rural,Married,Personal,3,1,Agent,Two-Door Car,Midsize,1
GU99037,Oregon,0,Basic,College,2011-02-14,Employed,M,Urban,Married,Corporate,1,4,Agent,Four-Door Car,Midsize,2
WI57118,California,0,Extended,College,2011-02-27,Employed,M,Suburban,Married,Personal,3,4,Agent,Four-Door Car,Small,2
YQ74870,Washington,0,Extended,High School or Below,2011-02-12,Employed,M,Suburban,Divorced,Corporate,2,2,Web,Four-Door Car,Small,2
MQ14219,Arizona,0,Basic,College,2011-02-26,Employed,M,Suburban,Married,Personal,3,2,Branch,SUV,Midsize,2
KN20603,Oregon,0,Basic,Bachelor,2011-02-20,Employed,M,Suburban,Single,Personal,3,1,Agent,Four-Door Car,Midsize,2
JI70886,California,0,Basic,High School or Below,2011-02-15,Unemployed,M,Suburban,Married,Corporate,2,1,Agent,SUV,Midsize,2
VF72557,Oregon,1,Extended,High School or Below,2011-02-18,Retired,M,Suburban,Divorced,Personal,3,2,Agent,SUV,Midsize,2
OX28638,Arizona,0,Extended,High School or Below,2011-01-21,Employed,M,Suburban,Married,Personal,3,2,Branch,Two-Door Car,Midsize,1
SK55033,California,0,Basic,Bachelor,2011-01-15,Employed,F,Suburban,Single,Personal,2,3,Agent,Two-Door Car,Midsize,1
OO88645,California,0,Extended,College,2011-02-05,Employed,F,Urban,Married,Corporate,2,2,Call Center,Four-Door Car,Midsize,2
YT36855,Washington,0,Extended,College,2011-02-24,Unemployed,M,Suburban,Married,Personal,2,3,Web,Two-Door Car,Midsize,2
CW82151,California,0,Basic,Bachelor,2011-01-05,Employed,M,Rural,Married,Personal,3,1,Call Center,Sports Car,Midsize,1
DY22043,Oregon,0,Basic,High School or Below,2011-01-28,Employed,F,Suburban,Married,Personal,3,3,Branch,Two-Door Car,Small,1
SH36774,California,0,Basic,High School or Below,2011-01-12,Employed,M,Suburban,Single,Personal,3,3,Web,Luxury SUV,Midsize,1
EM43724,Nevada,0,Basic,Bachelor,2011-02-16,Employed,F,Rural,Married,Personal,3,1,Agent,Four-Door Car,Midsize,2
XA55993,Oregon,0,Extended,Master,2011-02-07,Employed,F,Rural,Single,Personal,3,2,Branch,Four-Door Car,Midsize,2
GO36627,Arizona,0,Extended,College,2011-01-13,Employed,M,Urban,Married,Special,2,1,Branch,Four-Door Car,Midsize,1
QH48047,Oregon,1,Basic,College,2011-01-03,Retired,M,Suburban,Divorced,Personal,2,2,Web,Four-Door Car,Midsize,1
RB50392,Washington,0,Basic,Master,2011-02-17,Unemployed,F,Rural,Married,Personal,1,2,Agent,Four-Door Car,Midsize,2
UH65059,Arizona,0,Basic,High School or Below,2011-01-21,Employed,M,Suburban,Married,Personal,3,1,Agent,Sports Car,Midsize,1
FV21968,Nevada,0,Basic,Bachelor,2011-01-26,Employed,F,Rural,Married,Special,2,1,Branch,Four-Door Car,Midsize,1
QA87025,Oregon,0,Basic,Bachelor,2011-01-31,Employed,F,Urban,Married,Personal,3,1,Call Center,Four-Door Car,Midsize,1
TQ13499,Arizona,0,Premium,College,2011-01-02,Employed,M,Suburban,Married,Personal,3,1,Agent,Four-Door Car,Small,1
BU44523,Arizona,0,Basic,High School or Below,2011-02-07,Unemployed,F,Suburban,Single,Corporate,2,1,Web,Four-Door Car,Small,2
MS41162,Arizona,0,Basic,High School or Below,2011-01-26,Unemployed,M,Suburban,Single,Personal,3,1,Agent,SUV,Midsize,1
PU25891,Oregon,0,Basic,High School or Below,2011-01-11,Employed,F,Rural,Married,Special,2,1,Branch,Sports Car,Midsize,1
RB81636,Washington,0,Basic,College,2011-01-15,Unemployed,F,Suburban,Single,Personal,2,2,Agent,Four-Door Car,Small,1
SX26335,Oregon,0,Extended,College,2011-02-08,Employed,F,Urban,Married,Personal,3,4,Branch,Four-Door Car,Midsize,2
AZ95587,Arizona,0,Extended,Bachelor,2011-01-11,Employed,F,Urban,Single,Special,3,3,Branch,Four-Door Car,Small,1
DS81757,Oregon,0,Basic,College,2011-01-09,Unemployed,M,Suburban,Single,Personal,1,4,Web,Two-Door Car,Large,1
OJ94107,Arizona,0,Premium,Master,2011-02-04,Employed,M,Urban,Married,Personal,2,1,Call Center,SUV,Midsize,2
LP84436,California,0,Extended,High School or Below,2011-01-21,Unemployed,F,Suburban,Single,Personal,2,3,Branch,Sports Car,Midsize,1
YV64727,Washington,0,Premium,High School or Below,2011-02-16,Employed,M,Suburban,Married,Corporate,3,3,Agent,SUV,Midsize,2
LM19287,Oregon,1,Extended,High School or Below,2011-02-24,Unemployed,F,Suburban,Married,Personal,1,1,Agent,Four-Door Car,Large,2
ZU18643,Nevada,0,Extended,Bachelor,2011-01-18,Employed,M,Urban,Married,Corporate,2,4,Web,Four-Door Car,Midsize,1
AZ82578,California,0,Basic,College,2011-01-30,Unemployed,F,Suburban,Married,Corporate,3,1,Call Center,Four-Door Car,Midsize,1
XC67861,Arizona,0,Basic,Bachelor,2011-01-09,Employed,F,Suburban,Divorced,Corporate,2,1,Call Center,Two-Door Car,Midsize,1
YC43143,Arizona,0,Extended,High School or Below,2011-02-01,Employed,F,Rural,Married,Personal,3,2,Web,Four-Door Car,Midsize,2
EK59571,Oregon,1,Premium,College,2011-02-28,Unemployed,M,Suburban,Married,Corporate,2,1,Branch,Four-Door Car,Large,2
GD83998,Washington,0,Basic,Bachelor,2011-01-31,Employed,M,Suburban,Single,Personal,2,4,Branch,Four-Door Car,Small,1
WA25797,Washington,1,Basic,High School or Below,2011-02-17,Employed,M,Rural,Married,Personal,3,2,Agent,Sports Car,Midsize,2
PD27940,Arizona,0,Extended,High School or Below,2011-02-12,Disabled,M,Suburban,Married,Personal,3,4,Agent,SUV,Midsize,2
BS77946,Arizona,0,Extended,Bachelor,2011-02-24,Medical Leave,F,Rural,Married,Personal,1,1,Branch,SUV,Midsize,2
YM50253,California,0,Basic,Bachelor,2011-02-01,Employed,F,Urban,Single,Personal,3,2,Branch,Four-Door Car,Midsize,2
NR15332,California,0,Basic,High School or Below,2011-02-06,Employed,M,Suburban,Married,Personal,2,2,Web,Four-Door Car,Small,2
RC62865,Oregon,0,Extended,College,2011-01-23,Employed,M,Rural,Single,Personal,2,3,Agent,Four-Door Car,Midsize,1
CC15295,Oregon,0,Extended,Bachelor,2011-01-21,Employed,F,Suburban,Married,Personal,2,2,Agent,Four-Door Car,Small,1
KA61892,Arizona,1,Basic,College,2011-01-20,Retired,M,Suburban,Married,Personal,3,2,Agent,Sports Car,Midsize,1
OS94884,Arizona,0,Basic,Bachelor,2011-01-06,Employed,F,Rural,Married,Personal,2,1,Web,Two-Door Car,Large,1
ND87334,California,0,Basic,High School or Below,2011-02-22,Unemployed,M,Suburban,Married,Corporate,3,2,Agent,Two-Door Car,Midsize,2
ML93326,Washington,0,Basic,College,2011-02-27,Employed,F,Urban,Married,Personal,1,1,Agent,SUV,Midsize,2
YL74911,California,1,Basic,College,2011-02-21,Unemployed,F,Suburban,Divorced,Personal,3,1,Agent,SUV,Midsize,2
JP69864,Washington,1,Basic,Bachelor,2011-01-29,Retired,F,Suburban,Single,Personal,1,1,Branch,Four-Door Car,Midsize,1
HL53154,California,0,Extended,Bachelor,2011-02-22,Unemployed,M,Suburban,Single,Personal,3,1,Agent,Four-Door Car,Midsize,2
RI78966,Oregon,0,Basic,Master,2011-02-21,Medical Leave,M,Suburban,Married,Personal,3,1,Agent,Four-Door Car,Small,2
IC13702,California,0,Basic,Bachelor,2011-01-10,Unemployed,F,Suburban,Single,Personal,3,1,Agent,Four-Door Car,Small,1
BE10809,California,1,Basic,High School or Below,2011-01-18,Unemployed,F,Suburban,Single,Personal,1,1,Agent,Four-Door Car,Small,1
TS19868,California,0,Basic,College,2011-01-27,Medical Leave,M,Suburban,Married,Personal,1,4,Branch,Four-Door Car,Midsize,1
LP45550,Oregon,0,Premium,Doctor,2011-01-15,Disabled,F,Urban,Divorced,Personal,3,2,Agent,Four-Door Car,Midsize,1
QR87004,Nevada,0,Basic,College,2011-01-09,Employed,F,Rural,Divorced,Personal,3,3,Agent,Four-Door Car,Midsize,1
OE75747,Nevada,0,Basic,College,2011-01-28,Unemployed,F,Suburban,Married,Personal,2,3,Agent,Four-Door Car,Small,1
DX91392,California,1,Basic,High School or Below,2011-02-26,Employed,M,Suburban,Single,Personal,2,2,Call Center,Four-Door Car,Midsize,2
AB72731,California,0,Basic,Bachelor,2011-01-04,Employed,F,Rural,Married,Personal,2,2,Call Center,Sports Car,Midsize,1
RU49126,Washington,0,Basic,College,2011-02-01,Employed,F,Rural,Married,Personal,2,2,Agent,SUV,Midsize,2
IS12901,Arizona,0,Basic,Bachelor,2011-01-27,Employed,F,Urban,Married,Personal,3,2,Call Center,Two-Door Car,Midsize,1
IX37561,Washington,0,Basic,College,2011-02-14,Unemployed,F,Suburban,Single,Personal,3,3,Web,Two-Door Car,Midsize,2
HH90090,California,0,Basic,Bachelor,2011-01-23,Employed,F,Suburban,Divorced,Personal,2,2,Call Center,Sports Car,Small,1
IU25463,California,0,Premium,Bachelor,2011-02-18,Unemployed,F,Suburban,Married,Personal,2,1,Agent,Four-Door Car,Midsize,2
PD33979,Oregon,0,Basic,High School or Below,2011-02-18,Employed,M,Suburban,Married,Personal,2,2,Branch,Four-Door Car,Large,2
NK71023,Nevada,0,Extended,Bachelor,2011-01-19,Employed,M,Suburban,Single,Personal,2,4,Agent,Four-Door Car,Small,1
AB13432,California,0,Basic,Bachelor,2011-01-04,Unemployed,M,Suburban,Single,Personal,3,1,Agent,SUV,Midsize,1
OZ97704,California,0,Basic,High School or Below,2011-02-07,Employed,F,Suburban,Single,Personal,3,3,Call Center,SUV,Small,2
UF46533,California,0,Basic,College,2011-01-30,Employed,F,Suburban,Single,Corporate,3,2,Branch,SUV,Midsize,1
XP47431,Arizona,1,Extended,Bachelor,2011-02-17,Employed,F,Suburban,Married,Personal,1,2,Agent,SUV,Midsize,2
GK73582,California,0,Extended,Bachelor,2011-01-13,Employed,F,Urban,Single,Personal,1,3,Branch,Four-Door Car,Midsize,1
RV98763,Oregon,0,Extended,College,2011-02-08,Employed,M,Urban,Married,Personal,3,3,Branch,Four-Door Car,Midsize,2
II62831,California,0,Basic,Master,2011-01-29,Employed,M,Urban,Married,Special,2,4,Web,SUV,Midsize,1
XK33449,California,0,Basic,High School or Below,2011-02-05,Unemployed,F,Suburban,Single,Special,3,4,Branch,Two-Door Car,Small,2
TR85083,California,0,Basic,Bachelor,2011-01-20,Employed,M,Suburban,Married,Personal,3,2,Branch,Two-Door Car,Midsize,1
EO95328,Oregon,0,Basic,Bachelor,2011-01-27,Employed,F,Suburban,Married,Personal,2,4,Agent,Two-Door Car,Small,1
EN21086,Arizona,0,Basic,High School or Below,2011-01-09,Unemployed,F,Suburban,Divorced,Personal,2,1,Branch,Four-Door Car,Small,1
YL83902,Washington,0,Extended,Bachelor,2011-01-11,Employed,F,Suburban,Married,Personal,3,1,Agent,Four-Door Car,Small,1
AZ62651,Oregon,0,Premium,High School or Below,2011-02-17,Employed,M,Suburban,Single,Corporate,3,4,Web,Luxury SUV,Midsize,2
ZW25874,Oregon,0,Basic,Bachelor,2011-02-16,Employed,M,Rural,Single,Special,3,1,Branch,Four-Door Car,Midsize,2
MW70227,California,1,Extended,College,2011-02-19,Employed,M,Suburban,Married,Personal,1,1,Branch,Four-Door Car,Midsize,2
SL22297,California,0,Premium,Master,2011-01-21,Disabled,F,Suburban,Single,Personal,1,1,Call Center,SUV,Midsize,1
RV14138,Nevada,1,Extended,Bachelor,2011-02-27,Retired,F,Suburban,Single,Personal,3,1,Agent,SUV,Midsize,2
UO62808,Arizona,0,Basic,High School or Below,2011-02-04,Employed,F,Suburban,Married,Corporate,1,2,Call Center,Four-Door Car,Midsize,2
ZX64745,California,0,Basic,College,2011-01-18,Unemployed,M,Suburban,Single,Personal,2,1,Agent,SUV,Midsize,1
FL34139,California,0,Basic,High School or Below,2011-02-03,Unemployed,M,Suburban,Single,Personal,2,1,Call Center,Four-Door Car,Midsize,2
TS11219,California,0,Basic,College,2011-01-02,Unemployed,M,Suburban,Single,Personal,2,1,Agent,SUV,Midsize,1
XX12304,California,0,Basic,College,2011-01-09,Employed,F,Urban,Married,Personal,1,2,Branch,Four-Door Car,Midsize,1
SD64087,California,0,Premium,College,2011-01-19,Employed,M,Suburban,Married,Corporate,2,1,Branch,SUV,Small,1
OY38576,Oregon,0,Basic,High School or Below,2011-01-11,Employed,F,Suburban,Divorced,Corporate,3,2,Agent,SUV,Midsize,1
BG76355,Washington,0,Extended,Bachelor,2011-01-31,Employed,F,Rural,Married,Personal,3,3,Web,Four-Door Car,Midsize,1
IP66913,California,0,Extended,High School or Below,2011-01-11,Employed,M,Suburban,Single,Personal,3,2,Agent,Two-Door Car,Small,1
LE95702,California,1,Basic,College,2011-02-11,Retired,M,Suburban,Single,Special,3,1,Agent,Four-Door Car,Midsize,2
KX54357,Washington,0,Extended,College,2011-01-22,Employed,M,Urban,Married,Corporate,3,2,Web,Two-Door Car,Small,1
EZ78112,California,0,Basic,High School or Below,2011-02-24,Employed,F,Urban,Single,Special,3,1,Agent,Four-Door Car,Midsize,2
XN16891,Arizona,0,Basic,College,2011-02-28,Employed,M,Suburban,Divorced,Personal,1,4,Agent,Four-Door Car,Small,2
XK31350,Oregon,0,Extended,College,2011-01-25,Employed,F,Suburban,Married,Corporate,1,4,Call Center,Four-Door Car,Large,1
CC30924,Oregon,0,Premium,College,2011-02-26,Employed,M,Urban,Married,Corporate,3,4,Agent,Sports Car,Small,2
IT78748,Oregon,1,Extended,High School or Below,2011-02-19,Disabled,F,Suburban,Married,Special,3,1,Agent,Two-Door Car,Small,2
KY33386,Washington,1,Basic,High School or Below,2011-01-02,Unemployed,F,Suburban,Divorced,Personal,3,1,Web,Sports Car,Midsize,1
CO44221,California,0,Basic,College,2011-01-02,Employed,M,Suburban,Married,Personal,1,2,Branch,Four-Door Car,Midsize,1
LK60013,Oregon,0,Basic,Bachelor,2011-01-26,Employed,F,Suburban,Married,Personal,2,3,Branch,Four-Door Car,Midsize,1
